Name,Full Address,Address,City,State,Zip Code,Phone,Dealer_Homepage,,,,,,,
Kelly Nissan of Woburn,"95 Cedar St Woburn, MA 01801",95 Cedar St,Woburn,MA,1801,(781) 850-4329,https://www.kellynissanofwoburn.com,,,,,,,
Colonial Cadillac,"201 Cambridge Rd Woburn, MA 01801",201 Cambridge Rd,Woburn,MA,1801,(781) 218-3309,http://www.colonialcadillacwoburn.com,,,,,,,
Smith Motor Sales of Haverhill,"420 River St Haverhill, MA 01832",420 River St,Haverhill,MA,1832,(978) 377-1622,http://www.smithmercedesdealer.com,,,,,,,
Bill Deluca Chrysler Jeep Dodge Ram,"108 Bank Rd Haverhill, MA 01832",108 Bank Rd,Haverhill,MA,1832,(978) 912-7573,http://www.billdelucachryslerjeepdodge.net,,,,,,,
Drum Hill Autos,"1184 Westford St Lowell, MA 01851",1184 Westford St,Lowell,MA,1851,(978) 234-2129,https://drumhillautos.com,,,,,,,
Greater Lowell Buick GMC,"733 Rogers St Lowell, MA 01852",733 Rogers St,Lowell,MA,1852,(978) 735-4379,http://www.greaterlowell.net,,,,,,,
495 Mazda,"720 Rogers St Lowell, MA 01852",720 Rogers St,Lowell,MA,1852,(978) 319-4122,http://www.495mazda.com,,,,,,,
Modern Auto Sales,"273 Middlesex Rd Tyngsboro, MA 01879",273 Middlesex Rd,Tyngsboro,MA,1879,(978) 669-4015,http://www.modernautosales.com,,,,,,,
Liberty Mazda,"81 Bay State Rd Wakefield, MA 01880",81 Bay State Rd,Wakefield,MA,1880,(781) 557-5836,https://www.libertymazdausa.com,,,,,,,
Albrecht Subaru of Wakefield,"618 North Avenue Wakefield, MA 01880",618 North Avenue,Wakefield,MA,1880,(866) 922-8907,https://www.subaruofwakefield.com,,,,,,,
Atlantic Toyota,"671 Lynnway Lynn, MA 01905",671,Lynn,MA,1905,(855) 862-4239,http://www.atlantictoyota.com,,,,,,,
Amesbury Chevrolet,"103 Macy St Amesbury, MA 01913",103 Macy St,Amesbury,MA,1913,(978) 378-3270,https://www.amesburychevy.com,,,,,,,
Honda North,"382 Newbury St Danvers, MA 01923",382 Newbury St,Danvers,MA,1923,(978) 716-2757,http://www.hondanorth.com,,,,,,,
Kelly INFINITI,"155 Andover St Route 114 Danvers, MA 01923",155 Andover St Route 114,Danvers,MA,1923,(844) 327-4932,https://www.kellyinfiniti.com,,,,,,,
Ira Lexus,"101 Andover St Danvers, MA 01923",101 Andover St,Danvers,MA,1923,(978) 767-9424,http://www.iralexus.com,,,,,,,
Ira Subaru of Danvers,"97 Andover St Danvers, MA 01923",97 Andover St,Danvers,MA,1923,(978) 705-4873,https://www.irasubaru.com,,,,,,,
Herb Chambers Chrysler Dodge Jeep RAM FIAT of Danvers,"107 Andover St., Route 114 Danvers, MA 01923","107 Andover St., Route 114",Danvers,MA,1923,,,,,,,,,
North Shore Mazda,"84 Newbury St Danvers, MA 01923",84 Newbury St,Danvers,MA,1923,(978) 910-0145,http://www.northshoremazda.net,,,,,,,
Kelly Nissan of Lynnfield,"275 Broadway Lynnfield, MA 01940",275 Broadway,Lynnfield,MA,1940,(844) 327-7488,https://www.kellynissanoflynnfield.com,,,,,,,
Walls Ford,"2 Merrill St Salisbury, MA 01952",2 Merrill St,Salisbury,MA,1952,(978) 518-3174,http://www.wallsford.com,,,,,,,
Audi Peabody,"252 Andover St Peabody, MA 01960",252 Andover St,Peabody,MA,1960,(978) 705-4851,https://www.audipeabody.com,,,,,,,
Signature Motor Cars,"230 Boston St Topsfield, MA 01983",230 Boston St,Topsfield,MA,1983,(978) 769-1251,http://www.signaturemotorcars.com,,,,,,,
North End Motors,"390 Turnpike St Canton, MA 02021",390 Turnpike St,Canton,MA,2021,(781) 304-4821,https://northendmotors.com,,,,,,,
Direct Auto Team,"1095 Turnpike Street Canton, MA 02021",1095 Turnpike Street,Canton,MA,2021,(833) 243-0570,https://www.directautoteam.com,,,,,,,
Coastal Nissan,"109 Accord Park Dr Norwell, MA 02061",109 Accord Park Dr,Norwell,MA,2061,(844) 327-4719,"https://www.coastalnissan.comsell-us-your-car.html""",,,,,,,
Clay Subaru,"842 Boston-Providence Turnpike Norwood, MA 02062",842 Boston-Providence Turnpike,Norwood,MA,2062,(781) 559-0927,https://www.claysubaru.com,,,,,,,
Central Chrysler Jeep Dodge of Norwood,"56 Providence Hwy Norwood, MA 02062",56 Providence Hwy,Norwood,MA,2062,(888) 686-0315,https://www.centralchryslerjeepdodge.net,,,,,,,
Nucar Nissan of Norwood,"525 Boston Providence Hwy Norwood, MA 02062",525 Boston Providence Hwy,Norwood,MA,2062,(888) 378-4260,https://www.nucarnissannorwood.com,,,,,,,
BMW of Norwood,"920 Providence Highway Norwood, MA 02062",920 Providence Highway,Norwood,MA,2062,(781) 906-1218,https://www.bmwnorwood.com,,,,,,,
Ira Acura Westwood,"395 Providence Hwy Westwood, MA 02090",395 Providence Hwy,Westwood,MA,2090,(508) 921-4785,https://www.iraacurawestwood.com,,,,,,,
Ira Mazda,"420 Providence Highway Westwood, MA 02090",420 Providence Highway,Westwood,MA,2090,(781) 850-4220,https://www.iramazda.com,,,,,,,
Porsche Westwood,"411 Providence Highway Westwood, MA 02090",411 Providence Highway,Westwood,MA,2090,(781) 471-4067,https://www.porschewestwood.com,,,,,,,
Parkway Toyota of Boston,"1605 VFW Parkway West Roxbury, MA 02132",1605 VFW Parkway West,Roxbury,MA,2132,(617) 390-7361,https://parkwaytoyotaboston.com,,,,,,,
Herb Chambers BMW MINI of Boston,"1168 Commonwealth Ave Boston, MA 02134",1168 Commonwealth Ave,Boston,MA,2134,(617) 505-1961,https://www.herbchambersbmw.com,,,,,,,
Herb Chambers Porsche,"1172 Commonwealth Ave Boston, MA 02134",1172 Commonwealth Ave,Boston,MA,2134,(866) 976-4159,http://herbchambersporscheofboston.com,,,,,,,
Jaguar Land Rover Boston,"1188 Commonwealth Avenue Boston, MA 02134",1188 Commonwealth Avenue,Boston,MA,2134,(617) 284-6988,https://www.landroverboston.com,,,,,,,
Acura of Boston,"1600 Soldiers Field Rd Boston, MA 02135",1600 Soldiers Field Rd,Boston,MA,2135,(617) 415-5302,https://www.acuraofboston.com,,,,,,,
Boston Motorsports Maserati and Alfa Romeo,"1650 Soldiers Field Road Brighton, MA 02135",1650 Soldiers Field Road,Brighton,MA,2135,(617) 209-4078,http://www.bostonmotorsportsalfaromeo.com,,,,,,,
Cambridge Honda,"275 Fresh Pond Pkwy Cambridge, MA 02138",275 Fresh Pond Pkwy,Cambridge,MA,2138,(617) 674-0755,http://www.cambridgehonda.com,,,,,,,
Colonial Nissan of Medford,"104 Mystic Ave Medford, MA 02155",104 Mystic Ave,Medford,MA,2155,(888) 345-8785,http://www.buycolonialnissan.com,,,,,,,
Colonial Volkswagen of Medford,"340 Mystic Ave Medford, MA 02155",340 Mystic Ave,Medford,MA,2155,(888) 321-3543,http://www.vwmedford.com,,,,,,,
"BMW Certified Pre-Owned Medford, A Herb Chambers Company","60 Mystic Avenue Medford, MA 02155",60 Mystic Avenue,Medford,MA,2155,(617) 307-4091,https://www.herbchambersbmwmedford.com,,,,,,,
Stoneham Ford,"185 Main St Stoneham, MA 02180",185 Main St,Stoneham,MA,2180,(781) 850-7194,http://www.stonehamford.com,,,,,,,
Toyota of Braintree,"210 Union St Braintree, MA 02184",210 Union St,Braintree,MA,2184,(781) 519-4621,http://www.toyotaofbraintree.com,,,,,,,
Good Brothers Dodge & Ram,"577 Columbian St Weymouth, MA 02190",577 Columbian St,Weymouth,MA,2190,(781) 971-8010,https://www.goodbrothersdodge.com,,,,,,,
Nissan 24,"1016 Belmont St Brockton, MA 02301",1016 Belmont St,Brockton,MA,2301,(866) 552-7931,https://www.nissan24auto.com,,,,,,,
Copeland Chevrolet,"955 Pearl St Brockton, MA 02301",955 Pearl St,Brockton,MA,2301,(508) 232-4938,https://www.copelandchevrolet.com,,,,,,,
Silko Volkswagen,"122 Liberty Street Brockton, MA 02301",122 Liberty Street,Brockton,MA,2301,(508) 232-6186,https://www.silkovwofbrockton.com,,,,,,,
Absolute Auto Sales,"1008 Centre St Brockton, MA 02302",1008 Centre St,Brockton,MA,2302,(508) 744-6323,http://www.absolutecarandtruck.com,,,,,,,
Avon Auto Brokers,"159 Memorial Dr Avon, MA 02322",159 Memorial Dr,Avon,MA,2322,(508) 436-2796,http://www.avonautobrokers.com,,,,,,,
Jannell Ford of Hanover,"2000 Washington Street Hanover, MA 02339",2000 Washington Street,Hanover,MA,2339,(781) 347-5882,http://jannellford.com,,,,,,,
McGee Toyota,"880 Washington St Hanover, MA 02339",880 Washington St,Hanover,MA,2339,(781) 561-7385,http://www.mcgeetoyota.com,,,,,,,
Coastal Volkswagen,"1 Saturn Drive Hanover, MA 02339",1 Saturn Drive,Hanover,MA,2339,(781) 423-1051,"https://www.coastalvw.comsell-us-your-car.html""",,,,,,,
Colonial Ford,"11 Pilgrim Hill Rd. Plymouth, MA 02360",11 Pilgrim Hill Rd.,Plymouth,MA,2360,(855) 292-0768,https://www.colonialford.com,,,,,,,
Volvo Cars of Plymouth,"500 Colony Pl Plymouth, MA 02360",500 Colony Pl,Plymouth,MA,2360,(888) 875-8122,http://www.volvocarsplymouth.com,,,,,,,
Sullivan Brothers Nissan,"1 CRANBERRY RD Kingston, MA 02364",1 CRANBERRY RD,Kingston,MA,2364,(781) 285-3720,http://www.sullivanbrothersnissan.com,,,,,,,
Land Rover Rockland,"1022 Hingham Street Rockland, MA 02370",1022 Hingham Street,Rockland,MA,2370,(781) 427-2106,https://www.landroverhanover.com,,,,,,,
Bourne's Auto Center,"135 Belmont St Easton, MA 02375",135 Belmont St,Easton,MA,2375,(508) 219-4522,http://www.bournes.com,,,,,,,
South Easton Motor Sales,"300 Turnpike St. (Rte 138) South Easton, MA 02375",300 Turnpike St. (Rte 138),South Easton,MA,2375,(508) 219-4546,http://www.semscars.net,,,,,,,
Lexus of Watertown,"330 Arsenal St Watertown, MA 02472",330 Arsenal St,Watertown,MA,2472,(888) 726-1611,http://www.lexusofwatertown.com,,,,,,,
Wellesley Toyota,"234 Worcester St Wellesley, MA 02481",234 Worcester St,Wellesley,MA,2481,(781) 489-3698,http://www.wellesleytoyota.com,,,,,,,
Wellesley Volkswagen,"231 Linden St Wellesley, MA 02482",231 Linden St,Wellesley,MA,2482,(781) 489-3319,http://buywellesleyvw.com,,,,,,,
Wellesley Mazda,"965 Worcester St Wellesley, MA 02482",965 Worcester St,Wellesley,MA,2482,(781) 304-4865,http://www.wellesleymazda.com,,,,,,,
Matthews Nissan of Wellesley,"962 Worcester Street Wellesley, MA 02482",962 Worcester Street,Wellesley,MA,2482,(888) 298-0399,https://www.matthewsnissanofwellesley.com,,,,,,,
Atlantic Subaru,"124 Waterhouse Rd Bourne, MA 02532",124 Waterhouse Rd,Bourne,MA,2532,(508) 273-2118,https://www.atlanticsubaru.com,,,,,,,
Marty's Chevrolet,"420 MacArthur Blvd Bourne, MA 02532",420 MacArthur Blvd,Bourne,MA,2532,(888) 369-5424,http://www.martyschevrolet.com,,,,,,,
Robertsons GMC,"2680 Cranberry Hwy Wareham, MA 02571",2680 Cranberry Hwy,Wareham,MA,2571,(508) 273-2498,http://www.robertsonsgmc.com,,,,,,,
Courtesy Mitsubishi,"1060 Washington St Attleboro, MA 02703",1060 Washington St,Attleboro,MA,2703,(508) 915-4229,https://courtesymitsubishima.com,,,,,,,
Ralph's Auto Center,"867 Church St New Bedford, MA 02745",867 Church St,New Bedford,MA,2745,(508) 525-4037,http://www.ralphscars.com,,,,,,,
Colonial South Chevrolet,"361 State Rd North Dartmouth, MA 02747",361 State Rd,North Dartmouth,MA,2747,(508) 509-2416,https://www.buycolonialsouth.com,,,,,,,
Colonial Honda of Dartmouth,"225 State Rd North Dartmouth, MA 02747",225 State Rd,North Dartmouth,MA,2747,(508) 938-1050,http://buycolonialhonda.com,,,,,,,
Colonial South Chrysler Jeep Dodge Ram,"42 State Rd Dartmouth, MA 02747",42 State Rd,Dartmouth,MA,2747,(508) 717-3983,https://www.colonialsouthchryslerdodgejeep.com,,,,,,,
First Chrysler Dodge Jeep Ram,"280 E Washington St North Attleboro, MA 02760",280 E Washington St,North Attleboro,MA,2760,(508) 809-7015,http://www.firstcdjr.com,,,,,,,
Nucar Nissan of North Attleboro,"685 S Washington St North Attleborough, MA 02760",685 S Washington St,North Attleborough,MA,2760,(877) 848-3951,https://www.nucarnissannorthattleboro.com,,,,,,,
Silko Honda,"1580 New State Hwy Rt. 44 Raynham, MA 02767",1580 New State Hwy Rt. 44,Raynham,MA,2767,(508) 802-4194,http://www.silkohonda.com,,,,,,,
Central Jeep Chrysler Dodge RAM of Raynham,"191 New State Hwy Raynham, MA 02767",191 New State Hwy,Raynham,MA,2767,(877) 685-0096,https://centralchryslerjeepdodgeofraynham.com,,,,,,,
Mastria Volkswagen of Raynham,"1619 New State Hwy Raynham, MA 02767",1619 New State Hwy,Raynham,MA,2767,(888) 410-8475,https://www.mastriavw.com,,,,,,,
Mastria Nissan,"1305 New State Hwy Raynham, MA 02767",1305 New State Hwy,Raynham,MA,2767,(888) 335-6940,http://www.mastrianissan.com,,,,,,,
Mastria Mazda,"1545 New State Hwy Raynham, MA 02767",1545 New State Hwy,Raynham,MA,2767,(888) 336-1374,http://www.mastriamazda.com,,,,,,,
Mastria Kia,"1555 New State Hwy Raynham, MA 02767",1555 New State Hwy,Raynham,MA,2767,(877) 554-7397,http://www.MastriaKia.com,,,,,,,
Herb Chambers Honda of Seekonk,"185 Taunton Avenue Seekonk, MA 02771",185 Taunton Avenue,Seekonk,MA,2771,(888) 276-8827,https://www.herbchambershondaofseekonk.com,,,,,,,
Tasca Mazda Seekonk,"200 Fall River Ave Seekonk, MA 02771",200 Fall River Ave,Seekonk,MA,2771,(508) 343-7163,https://www.tascamazdama.com,,,,,,,
Prestige Auto Mart of Taunton,"288 Broadway Taunton, MA 02780",288 Broadway,Taunton,MA,2780,(888) 838-2928,http://www.prestigeautomart3.com,,,,,,,
Prestige Auto Mart of Westport,"1175 State Rd Westport, MA 02790",1175 State Rd,Westport,MA,2790,(877) 410-0471,http://www.prestigeautomart.net,,,,,,,
"Viti, Inc.","975 Fish Rd Tiverton, RI 02878",975 Fish Rd,Tiverton,RI,2878,(401) 685-0645,http://www.vitimb.com,,,,,,,
Viti Volvo Cars,"975 Fish Rd Tiverton, RI 02878",975 Fish Rd,Tiverton,RI,2878,(401) 685-4231,http://www.vitivolvo.com,,,,,,,
Herb Chambers Cadillac and Herb Chambers Maserati of Warwick,"1441 Bald Hill Rd Warwick, RI 02886",1441 Bald Hill Rd,Warwick,RI,2886,(888) 833-7931,https://www.herbchamberscadillacofwarwick.com,,,,,,,
BMW of Warwick,"1515 Bald Hill Rd Warwick, RI 02886",1515 Bald Hill Rd,Warwick,RI,2886,(866) 785-5867,https://www.bmwofwarwick.com,,,,,,,
Mercedes-Benz of Warwick,"1557 Bald Hill Road Warwick, RI 02886",1557 Bald Hill Road,Warwick,RI,2886,(877) 717-4510,http://www.mercedesbenzofwarwick.com,,,,,,,
Audi Warwick,"1517 Bald Hill Rd Warwick, RI 02886",1517 Bald Hill Rd,Warwick,RI,2886,(888) 696-8048,https://www.audiwarwick.com,,,,,,,
INFINITI of Warwick,"1085 Centerville Rd Warwick, RI 02886",1085 Centerville Rd,Warwick,RI,2886,(855) 223-6260,https://www.infinitiofwarwick.com,,,,,,,
MINI of Warwick,"1515A Bald Hill Rd Warwick, RI 02886",1515A Bald Hill Rd,Warwick,RI,2886,(888) 228-1096,http://www.miniofwarwick.com,,,,,,,
Tasca Buick GMC Woonsocket,"55 Fortin Dr Woonsocket, RI 02895",55 Fortin Dr,Woonsocket,RI,2895,(888) 799-3005,http://tascabuickgmc.com,,,,,,,
Tasca Chevrolet,"114 Fortin Dr Woonsocket, RI 02895",114 Fortin Dr,Woonsocket,RI,2895,(401) 257-6462,http://www.tascachevy.com,,,,,,,
Anchor Auto Group - Subaru Nissan,"949 Eddie Dowling Hwy North Smithfield, RI 02896",949 Eddie Dowling Hwy,North Smithfield,RI,2896,(401) 371-4223,https://www.anchorautogroup.com,,,,,,,
Elmwood Chrysler Dodge Jeep RAM,"625 Taunton Ave East Providence, RI 02914",625 Taunton Ave,East Providence,RI,2914,(401) 262-0272,http://www.elmwoodcdjr.com,,,,,,,
Prestige Mitsubishi,"377 Taunton Ave East Providence, RI 02914",377 Taunton Ave,East Providence,RI,2914,(888) 854-5763,https://www.prestigemitsubishiri.com,,,,,,,
D'Agostino Motors LTD,"411 Douglas Pike Smithfield, RI 02917",411 Douglas Pike,Smithfield,RI,2917,(401) 400-8693,,,,,,,,
Grieco Honda,"1880 Hartford Ave Johnston, RI 02919",1880 Hartford Ave,Johnston,RI,2919,(888) 473-0902,https://www.griecohonda.com,,,,,,,
Tasca Chrysler Jeep Dodge RAM Fiat,"1667 Hartford Ave Johnston, RI 02919",1667 Hartford Ave,Johnston,RI,2919,(888) 691-9403,https://www.tascacdjrf.com,,,,,,,
Tasca Kia,"1660 Hartford Ave Johnston, RI 02919",1660 Hartford Ave,Johnston,RI,2919,(833) 240-6602,http://www.tascakia.com,,,,,,,
Tasca Automotive Group,"1300 Pontiac Ave Cranston, RI 02920",1300 Pontiac Ave,Cranston,RI,2920,(877) 227-9406,http://www.tasca.com,,,,,,,
Amherst Subaru,"98 New Hampshire 101A Amherst, NH 03031",98 New Hampshire 101A,Amherst,NH,3031,(888) 807-9051,https://www.amherstsubaru.com,,,,,,,
McGee Toyota of Epping,"58 Calef Highway Epping, NH 03042",58 Calef Highway,Epping,NH,3042,(603) 686-7421,https://www.mcgeetoyotaofepping.com,,,,,,,
Granite Subaru,"193 Lowell Rd Hudson, NH 03051",193 Lowell Rd,Hudson,NH,3051,(833) 240-6414,https://www.granitesubaru.com,,,,,,,
Lovering Volvo Cars Nashua,"180 Daniel Webster Hwy Nashua, NH 03060",180 Daniel Webster Hwy,Nashua,NH,3060,(888) 716-9598,https://www.loveringnashua.com,,,,,,,
INFINITI of Nashua,"11 Marmon Dr Nashua, NH 03060",11 Marmon Dr,Nashua,NH,3060,(877) 869-3989,http://www.infinitiofnashua.com,,,,,,,
Team Nissan,"70 Keller St Manchester, NH 03103",70 Keller St,Manchester,NH,3103,(866) 970-5681,https://www.teamnissannh.com,,,,,,,
Werner Mazda,"736 Huse Rd Manchester, NH 03103",736 Huse Rd,Manchester,NH,3103,(603) 325-4805,http://www.wernermazda.com,,,,,,,
Lexus of Manchester,"18 Kilton Road Bedford, NH 03110",18 Kilton Road,Bedford,NH,3110,(866) 433-2331,https://www.lexusofmanchesternh.com,,,,,,,
Volvo Cars of Exeter,"140 Portsmouth Ave Exeter, NH 03833",140 Portsmouth Ave,Exeter,NH,3833,(603) 204-2410,http://www.volvocarsexeter.com,,,,,,,
BMW of Stratham,"71 Portsmouth Ave Stratham, NH 03885",71 Portsmouth Ave,Stratham,NH,3885,(603) 967-4399,http://www.bmwofstratham.com,,,,,,,
Exeter Subaru,"37 Portsmouth Ave Stratham, NH 03885",37 Portsmouth Ave,Stratham,NH,3885,,,,,,,,,
Honda Stratham,"34 Portsmouth Avenue Stratham, NH 03885",34 Portsmouth Avenue,Stratham,NH,3885,(603) 583-4505,https://www.hondastratham.com,,,,,,,
Putnam Chrysler Dodge Jeep RAM Kia,"157 Providence Pike Putnam, CT 06260",157 Providence Pike,Putnam,CT,6260,(860) 455-4691,http://www.putnamchrysler.com,,,,,,,
Performance Motorcars of CT,"1039 Danbury Road Wilton, CT 06897",1039 Danbury Road,Wilton,CT,6897,(475) 501-4042,https://www.performanceon7.com,,,,,,,
Richard Lucas Chevrolet,"1077 Route 1 S Avenel, NJ 07001",1077 Route 1 S,Avenel,NJ,7001,(855) 871-9639,https://www.richardlucaschevy.com,,,,,,,
Sansone Rt 1 Auto Mall,"90-100 Rt 1 North Avenel, NJ 07001",90-100 Rt 1 North,Avenel,NJ,7001,(866) 784-4218,http://www.sansoneauto.com,,,,,,,
Arrow Motors,"1330 E St Georges Ave Linden, NJ 07036",1330 E St Georges Ave,Linden,NJ,7036,(908) 214-7576,http://www.arrowmotorsnj.com,,,,,,,
Schumacher Chevrolet of Livingston,"606 W Mt Pleasant Ave Livingston, NJ 07039",606 W Mt Pleasant Ave,Livingston,NJ,7039,(866) 894-7948,https://www.schumacherchevroletlivingston.com,,,,,,,
"Paul Miller Inc, DBA Paul Miller Audi","179 US Highway 46 Parsippany, NJ 07054",179 US Highway 46,Parsippany,NJ,7054,(888) 884-5685,https://www.paulmilleraudi.com,,,,,,,
Rayan Auto Sales,"1826 West Front Street Plainfield, NJ 07063",1826 West Front Street,Plainfield,NJ,7063,(732) 385-5749,https://www.rayanautosales.com,,,,,,,
Jersey Car Direct,"1367 St George Ave Woodbridge Township, NJ 07067",1367 St George Ave,Woodbridge Township,NJ,7067,(732) 587-5709,https://www.jerseycardirect.com,,,,,,,
VML Motors Quality Pre-Owned,"70 Commercial Ave. Moonachie, NJ 07074",70 Commercial Ave.,Moonachie,NJ,7074,(201) 365-4947,http://www.vmlmotorsllc.com,,,,,,,
Autoland Toyota/Chrysler/Jeep/Dodge,"170 US-22 Springfield Township, NJ 07081",170 US-22,Springfield Township,NJ,7081,(973) 327-9502,http://www.1800autoland.com,,,,,,,
"Olger Motors, Inc.","561 Amboy Ave Woodbridge, NJ 07095",561 Amboy Ave,Woodbridge,NJ,7095,(732) 709-2424,http://www.olgermotors.com,,,,,,,
